     TIC_ID            APOGEE_ID        GAIA_SOURCE_ID   APOGEE_TEFF   APOGEE_TEFF_ERR   APOGEE_LOGG   APOGEE_LOGG_ERR           GAIA_PARALLAX    GAIA_PARALLAX_ERROR        J   J_ERR        H   H_ERR        K   K_ERR              M_H          ALPHA_M   numax_COR   numax_err_COR   dnu_COR   dnu_err_COR   numax_BHM   numax_err_BHM    dnu_BHM   dnu_err_BHM   numax_A2Z   numax_err_A2Z   dnu_A2Z   dnu_err_A2Z  
  141757230   2M06054680-7342031                     0      6290.129         140.77994     3.6308599        0.07967091                 -9999.0                -9999.0    8.741   0.027    8.553    0.04    8.452   0.019      -0.10801155         0.174689       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  261205062   2M05500559-7829035   4623679972299575040       4730.34          81.54422     2.4498768       0.034697488      0.6625310046908665    0.01780475020780174   10.137   0.023    9.477   0.025    9.325   0.024       0.11432845      0.001862999       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  261237169   2M05552838-7829598   4623689391164596480     4800.5654         105.31217     2.3650136       0.076995306      0.6539790111385262   0.018166856806893356    10.25   0.026    9.695   0.026    9.561   0.019       -1.0197616       0.28473902       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  261239699   2M05572613-7820596   4623694304607188096      4766.853          99.91297     2.9797795       0.054482803      0.6859693692160881   0.012269102642883207    11.25   0.024   10.698   0.026   10.508   0.019       0.15342845    -0.0073490012       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  261239622   2M05563851-7811165   4623700042683482240     4634.0264         104.30893     2.5660949       0.057821825     0.44703680065154444   0.010258623506487832   11.472   0.022    10.84   0.022   10.701   0.019      -0.25447154         0.153599       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  261204977   2M05504874-7819083   4623706296155824128     4001.7754          70.04647     1.1820617       0.058441915      0.2500706460632623     0.0175597730000437    9.251   0.023    8.441    0.04    8.169   0.036      -0.55591154         0.230089       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  261204944   2M05494251-7815199   4623707636185606144     4456.6216           91.1457     1.9634401        0.06265936     0.24195366608171248   0.016315545926336883   11.043   0.024   10.355   0.021   10.188   0.019      -0.57571155       0.26780897       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  261204899   2M05493585-7810119   4623709800849117824     4719.3936         83.357185     2.3834984        0.03546105      0.5605640660471776   0.015446085595330703   10.466   0.024    9.836   0.022    9.697   0.019      -0.13618155         0.101439       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  261154684   2M05451432-7826291   4623725739471076224     4878.9316          87.75261     2.4533951       0.042039603      0.5633121034330177    0.02063859017576337   10.313   0.022    9.745   0.024    9.623   0.025      -0.11534155    4.1998923e-05       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  261154649   2M05454091-7822592   4623726396602729088     4947.2134           92.1071     2.4565678       0.046810146      1.4499287311808435   0.020416737068930768    8.293    0.03    7.694   0.023    7.559   0.027      -0.36450154         0.043077       35.73            0.88     4.273         0.017        34.4           1.715    4.06656      0.170877       34.68            4.12      4.12          1.13  
