,KIC,Kpmag,numax,e_numax,Delnu,e_Delnu,Teff_x,e_Teff_x,log(g),e_log(g),[Fe/H],e_[Fe/H],Dist,E_Dist,e_Dist,luminosity_berger
0,757137,9.2,29.99,0.6,3.3989999999999996,0.011000000000000001,4751,139,2.383,0.012,-0.08,0.3,570.715,8.271,8.06,82.21083923110214
1,892010,11.67,17.85,0.89,2.427,0.078,4834,151,2.161,0.023,0.21,0.3,1856.5339999999999,86.43700000000001,79.285,107.76186666674111
2,892738,11.73,7.48,0.35,1.3,0.031,4534,135,1.7690000000000001,0.022000000000000002,-0.25,0.3,2489.77,144.015,129.446,194.28859955670825
3,892760,13.23,29.48,0.48,3.9619999999999997,0.11599999999999999,5188,183,2.394,0.011000000000000001,-0.21,0.3,2894.4640000000004,115.415,107.197,60.27987500675501
4,893214,12.58,41.39,0.54,4.311,0.013000000000000001,4728,80,2.522,0.008,-0.15,0.15,2287.255,134.891,121.0,57.297299185407596
5,893233,11.44,6.15,0.12,1.176,0.018000000000000002,4207,147,1.6680000000000001,0.012,0.22,0.3,2338.395,160.196,141.296,227.9103146010831
6,1026084,12.14,41.17,0.9,4.414,0.061,5072,166,2.5340000000000003,0.013000000000000001,-0.12,0.3,2264.525,118.56299999999999,107.63,97.27205472257467
7,1026180,11.74,36.91,0.71,3.991,0.064,4718,148,2.471,0.012,-0.02,0.3,1526.517,53.486000000000004,50.117,63.643969185776086
8,1026309,10.6,16.86,0.76,1.9269999999999998,0.028999999999999998,4514,80,2.121,0.02,0.25,0.15,1501.8210000000001,49.828,46.852,178.04852099671768
9,1026326,13.26,94.86,0.65,8.83,0.019,5123,162,2.8989999999999996,0.009000000000000001,-0.41,0.3,2198.701,66.009,62.44,31.297934335090094
10,1026452,12.94,34.5,0.52,3.967,0.078,5089,154,2.458,0.01,-0.11,0.3,3225.842,236.923,207.28799999999998,86.53938447279714
11,1027110,12.1,6.62,0.19,1.1520000000000001,0.016,4190,80,1.699,0.013999999999999999,-0.27,0.15,3019.7329999999997,205.857,181.73,187.9297103746399
12,1027337,12.11,74.21,0.68,6.937,0.013999999999999999,4671,80,2.772,0.006999999999999999,0.29,0.15,1365.816,43.443999999999996,40.954,30.423284394084522
13,1027582,13.88,157.75,1.06,12.633,0.018000000000000002,5039,155,3.116,0.008,-0.1,0.3,2007.886,61.251000000000005,57.882,14.64549090190426
